oa_funder_id,oa_funder_name
https://openalex.org/F4320336213,National Natural Science Foundation of China-Guangdong Joint Fund
https://openalex.org/F4320336651,Quanzhou City Science and Technology Program
https://openalex.org/F4320325434,Xiamen University
https://openalex.org/F4320335955,Key Scientific Research Project of Colleges and Universities in Henan Province
https://openalex.org/F4320313681,Taishan Scholar Foundation of Shandong Province
https://openalex.org/F4320336008,National College Students Innovation and Entrepreneurship Training Program
https://openalex.org/F4320326497,China Academy of Space Technology
https://openalex.org/F4320334262,"Tata Center for Technology and Design, Massachusetts Institute of Technology"
https://openalex.org/F4320325931,Beijing Social Science Fund
https://openalex.org/F4320320972,RMIT University
https://openalex.org/F4320324805,Chongqing Municipal Education Commission
https://openalex.org/F4320326784,CAS-Croucher Funding Scheme for Joint Laboratories
https://openalex.org/F4320320985,University of Southern Queensland
https://openalex.org/F4320321108,Academy of Finland
https://openalex.org/F4320320285,King's College London
https://openalex.org/F4320323292,University of Electronic Science and Technology of China
https://openalex.org/F4320335476,Sichuan Province Youth Science and Technology Innovation Team
https://openalex.org/F4320335357,Guangdong Academy of Sciences
https://openalex.org/F4320326713,Wuhan Municipal Science and Technology Bureau
https://openalex.org/F4320321883,Huazhong University of Science and Technology
https://openalex.org/F4320336592,Hebei Province Outstanding Youth Fund
https://openalex.org/F4320327024,State Key Laboratory of Mechanical System and Vibration
https://openalex.org/F4320310638,McGill University
https://openalex.org/F4320318616,Henan Office of Philosophy and Social Science
https://openalex.org/F4320328768,Ningbo University of Technology
https://openalex.org/F4320330381,Shenzhen-Hong Kong Institute of Brain Science
https://openalex.org/F4320325902,Beijing Municipal Science and Technology Commission
https://openalex.org/F4320324847,Zhejiang Sci-Tech University
https://openalex.org/F4320327025,State Key Laboratory of Advanced Optical Communication Systems and Networks
https://openalex.org/F4320335790,Shenzhen Peacock Plan
https://openalex.org/F4320336756,Tianjin Science and Technology Program
https://openalex.org/F4320330043,Western Sydney University
https://openalex.org/F4320334890,"University Research Committee, University of Hong Kong"
https://openalex.org/F4320319965,Michael Smith Health Research BC
https://openalex.org/F4320334506,Canadian Institutes of Health Research
https://openalex.org/F4320338116,Research Institute of Science and Technology for Society
https://openalex.org/F4320321392,Northwestern Polytechnical University
https://openalex.org/F4320310121,Natural Science Foundation of Jilin Province
https://openalex.org/F4320336829,"Department of Mechanical Engineering, University of Alberta"
https://openalex.org/F4320320671,National Research Foundation
https://openalex.org/F4320317144,Beijing Logistics Informatics Research Base
https://openalex.org/F4320322887,The Research Council
https://openalex.org/F4320317524,"Henan Provincial Key Laboratory of Medical Polymer Materials Technology and Application, Tuoren Medical Device Co., Ltd."
https://openalex.org/F4320335983,National Natural Science Foundation of China-Shandong Joint Fund for Marine Science Research Centers
https://openalex.org/F4320335830,International Science and Technology Cooperation Programme
https://openalex.org/F4320322648,Università degli Studi di Firenze
https://openalex.org/F4320331164,National Science and Technology Council
https://openalex.org/F4320336618,Science and Technology Program of Suzhou
https://openalex.org/F4320336619,Science and Technology Project of Nantong City
https://openalex.org/F4320321505,Generalitat de Catalunya
https://openalex.org/F4320337712,Solar Energy Technologies Office
https://openalex.org/F4320337015,K. C. Wong Magna Fund in Ningbo University
https://openalex.org/F4320335577,Major Research Plan
https://openalex.org/F4320335785,Project 211
https://openalex.org/F4320321758,South China Normal University
https://openalex.org/F4320334898,Guangzhou Science and Technology Program key projects
https://openalex.org/F4320330311,Tin Ka Ping Foundation
https://openalex.org/F4320337369,Office of Polar Programs
https://openalex.org/F4320337402,Division of Atmospheric and Geospace Sciences
https://openalex.org/F4320306127,U.S. Department of Veterans Affairs
https://openalex.org/F4320337350,National Eye Institute
https://openalex.org/F4320323540,Society of Hong Kong Scholars
https://openalex.org/F4320326178,Heilongjiang Provincial Postdoctoral Science Foundation
https://openalex.org/F4320336652,Science and Technology Innovation Plan Of Shanghai Science and Technology Commission
https://openalex.org/F4320320967,University of Technology Sydney
https://openalex.org/F4320326982,State Key Laboratory of Information Photonics and Optical Communications
https://openalex.org/F4320328899,China University of Geosciences
https://openalex.org/F4320334909,Senior Talent Foundation of Jiangsu University
https://openalex.org/F4320322015,University of Toronto
https://openalex.org/F4320334617,Social Sciences and Humanities Research Council of Canada
https://openalex.org/F4320322320,King Abdullah University of Science and Technology
https://openalex.org/F4320334982,Basic Research Program of Jiangsu Province
https://openalex.org/F4320335629,"Suzhou Institute of Nanotechnology, Chinese Academy of Sciences"
https://openalex.org/F4320329833,Basic Scientific Fund for National Public Research Institutes of China
