doi,year,cited_by_count
https://doi.org/10.1016/j.engstruct.2024.119236,2025,2
https://doi.org/10.1038/s41566-024-01561-5,2025,3
https://doi.org/10.1038/s41566-024-01561-5,2024,1
https://doi.org/10.1016/j.apenergy.2024.124800,2024,1
https://doi.org/10.1016/j.seppur.2024.130096,2025,1
https://doi.org/10.1016/j.seppur.2024.130096,2024,3
https://doi.org/10.1016/j.iintel.2024.100113,2025,3
https://doi.org/10.1109/tii.2024.3423440,2025,1
https://doi.org/10.1109/tii.2024.3423440,2024,1
https://doi.org/10.1016/j.cclet.2024.109799,2025,2
https://doi.org/10.1016/j.cclet.2024.109799,2024,8
https://doi.org/10.1016/j.enrev.2024.100109,2025,1
https://doi.org/10.1016/j.enrev.2024.100109,2024,1
https://doi.org/10.1108/ijchm-03-2024-0323,2025,3
https://doi.org/10.1016/j.strusafe.2024.102539,2025,1
https://doi.org/10.1016/j.strusafe.2024.102539,2024,1
https://doi.org/10.1016/j.measurement.2024.115738,2025,1
https://doi.org/10.1016/j.measurement.2024.115738,2024,1
https://doi.org/10.1016/j.resconrec.2024.107922,2025,2
https://doi.org/10.1016/j.resconrec.2024.107922,2024,1
https://doi.org/10.1016/j.apenergy.2024.124227,2025,4
https://doi.org/10.1016/j.cnsns.2024.108299,2025,2
https://doi.org/10.1016/j.cnsns.2024.108299,2024,1
https://doi.org/10.1109/tpwrs.2024.3429339,2024,1
https://doi.org/10.1016/j.seppur.2024.128399,2025,1
https://doi.org/10.1016/j.seppur.2024.128399,2024,2
https://doi.org/10.1080/13607863.2024.2356874,2025,1
https://doi.org/10.1080/13607863.2024.2356874,2024,4
https://doi.org/10.1080/03075079.2024.2338267,2024,3
https://doi.org/10.1007/s10845-023-02297-9,2025,2
https://doi.org/10.1007/s10845-023-02297-9,2024,2
https://doi.org/10.1177/00472875231221673,2024,3
https://doi.org/10.1109/tnnls.2023.3341841,2024,10
https://doi.org/10.1109/tnnls.2023.3341841,2023,2
https://doi.org/10.1108/ecam-02-2023-0119,2024,4
https://doi.org/10.1177/10963480231168679,2025,1
https://doi.org/10.1177/10963480231168679,2024,4
https://doi.org/10.1177/10963480231168679,2023,1
https://doi.org/10.1080/01434632.2023.2176506,2024,2
https://doi.org/10.1080/01434632.2023.2176506,2023,2
https://doi.org/10.1177/10963480231152571,2024,3
https://doi.org/10.1177/13548166241273607,2025,3
https://doi.org/10.1177/13548166241273607,2024,1
https://doi.org/10.1177/00219096231184407,2024,4
https://doi.org/10.1108/ecam-06-2023-0613,2024,4
https://doi.org/10.1002/anie.202423357,2025,1
https://doi.org/10.1038/s44160-024-00679-2,2025,2
https://doi.org/10.1038/s44160-024-00679-2,2024,2
https://doi.org/10.1016/j.buildenv.2024.112396,2025,6
https://doi.org/10.1016/j.buildenv.2024.112396,2024,1
https://doi.org/10.1080/02607476.2024.2379820,2025,1
https://doi.org/10.1080/02607476.2024.2379820,2024,1
https://doi.org/10.1080/10941665.2024.2437630,2025,2
https://doi.org/10.1016/j.ymssp.2025.112442,2025,3
https://doi.org/10.1038/s44221-024-00377-5,2025,2
https://doi.org/10.1016/j.cej.2025.160359,2025,2
https://doi.org/10.1016/j.engstruct.2025.119819,2025,1
https://doi.org/10.1016/j.engfailanal.2024.109044,2025,2
https://doi.org/10.1016/j.oceaneng.2025.120371,2025,1
https://doi.org/10.1021/jacs.4c15445,2025,2
https://doi.org/10.1016/j.jcsr.2025.109325,2025,3
https://doi.org/10.1016/j.engstruct.2025.119672,2025,3
https://doi.org/10.1021/acsenergylett.4c03119,2025,2
https://doi.org/10.1016/j.energy.2024.134227,2025,2
https://doi.org/10.1016/j.ast.2024.109918,2025,2
https://doi.org/10.1016/j.electacta.2024.145587,2025,1
https://doi.org/10.1016/j.conbuildmat.2024.139697,2025,2
https://doi.org/10.1109/tsp.2024.3520551,2025,2
https://doi.org/10.1139/cgj-2023-0756,2025,1
https://doi.org/10.1139/cgj-2023-0756,2024,1
https://doi.org/10.1007/978-3-031-72655-2_15,2025,1
https://doi.org/10.1016/j.cma.2024.117695,2025,2
https://doi.org/10.1080/2331186x.2024.2440182,2025,2
https://doi.org/10.1016/j.actamat.2024.120656,2025,2
https://doi.org/10.1016/j.cemconcomp.2024.105895,2025,2
https://doi.org/10.1016/j.jobe.2024.111588,2025,1
https://doi.org/10.1016/j.jmat.2024.100932,2025,2
https://doi.org/10.1016/j.jmat.2024.100932,2024,1
https://doi.org/10.1016/j.combustflame.2024.113896,2025,1
https://doi.org/10.1002/nag.3862,2025,3
https://doi.org/10.1016/j.cie.2024.110761,2025,2
https://doi.org/10.1016/j.wroa.2024.100292,2025,2
https://doi.org/10.1016/j.cemconcomp.2024.105884,2025,1
https://doi.org/10.1016/j.eswa.2024.125931,2025,1
https://doi.org/10.1016/j.eswa.2024.125931,2024,1
https://doi.org/10.1002/adma.202411709,2025,2
https://doi.org/10.1016/j.tre.2024.103884,2025,1
https://doi.org/10.1016/j.copbio.2024.103230,2025,3
https://doi.org/10.1016/j.tws.2024.112696,2025,3
https://doi.org/10.1007/978-3-031-73247-8_5,2025,4
https://doi.org/10.1007/978-3-031-73247-8_5,2024,13
https://doi.org/10.1111/opo.13416,2025,2
https://doi.org/10.1111/opo.13416,2024,1
https://doi.org/10.1002/anie.202416235,2025,2
https://doi.org/10.1016/j.jpowsour.2024.235883,2025,2
https://doi.org/10.1016/j.jpowsour.2024.235875,2025,3
https://doi.org/10.1016/j.nantod.2024.102559,2025,3
https://doi.org/10.1016/j.cma.2024.117524,2025,1
https://doi.org/10.1016/j.cma.2024.117524,2024,2
https://doi.org/10.1016/j.mser.2024.100879,2025,2
https://doi.org/10.1002/anie.202413584,2025,1
https://doi.org/10.1016/j.cmpb.2024.108494,2025,2
https://doi.org/10.1002/cssc.202401138,2025,3
https://doi.org/10.1002/cssc.202401138,2024,1
https://doi.org/10.1016/j.resconrec.2024.107999,2025,3
https://doi.org/10.1002/anie.202418269,2025,1
https://doi.org/10.1002/adfm.202415622,2025,3
https://doi.org/10.1002/adfm.202415622,2024,1
https://doi.org/10.1111/phn.13470,2025,3
https://doi.org/10.1016/j.compositesa.2024.108555,2025,3
https://doi.org/10.1016/j.compgeo.2024.106866,2025,2
https://doi.org/10.1002/adfm.202411171,2025,2
https://doi.org/10.1016/j.compscitech.2024.110914,2025,2
https://doi.org/10.1007/s00586-024-08516-y,2025,1
https://doi.org/10.1007/s00586-024-08516-y,2024,2
https://doi.org/10.1007/978-3-031-72952-2_8,2025,1
https://doi.org/10.1007/978-3-031-72952-2_8,2024,1
https://doi.org/10.1108/ijchm-02-2024-0163,2025,2
https://doi.org/10.1108/ijchm-02-2024-0163,2024,1
https://doi.org/10.1111/mice.13357,2025,3
https://doi.org/10.1016/j.ijheatmasstransfer.2024.126270,2025,2
https://doi.org/10.1016/j.ijheatmasstransfer.2024.126270,2024,1
https://doi.org/10.1002/adfm.202415551,2025,3
https://doi.org/10.1002/adma.202312920,2025,3
https://doi.org/10.1177/13694332241289172,2025,2
https://doi.org/10.1007/s12598-024-03012-0,2025,2
https://doi.org/10.1016/j.jretconser.2024.104094,2025,3
https://doi.org/10.1016/j.eswa.2024.125411,2025,2
https://doi.org/10.1016/j.eswa.2024.125411,2024,2
https://doi.org/10.1016/j.eiar.2024.107677,2025,2
https://doi.org/10.1016/j.eiar.2024.107677,2024,1
https://doi.org/10.1016/j.jmst.2024.06.052,2025,2
https://doi.org/10.1016/j.jmst.2024.06.052,2024,2
https://doi.org/10.1002/aenm.202403388,2025,5
https://doi.org/10.1002/aenm.202403388,2024,1
https://doi.org/10.1080/20932685.2024.2388035,2025,1
https://doi.org/10.1080/20932685.2024.2388035,2024,1
https://doi.org/10.1016/j.tbs.2024.100894,2025,1
https://doi.org/10.1016/j.scriptamat.2024.116317,2025,2
https://doi.org/10.1016/j.rcim.2024.102852,2025,3
https://doi.org/10.1080/00071005.2024.2388542,2025,1
https://doi.org/10.1080/00071005.2024.2388542,2024,1
https://doi.org/10.1139/cgj-2023-0576,2025,1
https://doi.org/10.1139/cgj-2023-0576,2024,2
https://doi.org/10.1016/j.ymssp.2024.111802,2025,3
https://doi.org/10.1108/ijchm-12-2023-1927,2024,2
https://doi.org/10.1016/j.rcim.2024.102841,2025,1
https://doi.org/10.1016/j.rcim.2024.102841,2024,2
https://doi.org/10.1109/tia.2024.3430247,2025,1
https://doi.org/10.1109/tpwrs.2024.3425843,2025,1
https://doi.org/10.1109/tpwrs.2024.3425843,2024,1
https://doi.org/10.1016/j.tourman.2024.105000,2025,1
https://doi.org/10.1016/j.tourman.2024.105000,2024,3
https://doi.org/10.1109/tpwrs.2024.3405543,2024,1
https://doi.org/10.1177/13548166241253309,2025,1
https://doi.org/10.1177/13548166241253309,2024,2
https://doi.org/10.1109/tase.2024.3392742,2024,4
https://doi.org/10.1007/s00371-024-03343-0,2025,4
https://doi.org/10.1007/s00371-024-03343-0,2024,6
https://doi.org/10.1007/s00371-024-03343-0,2023,1
https://doi.org/10.1007/s00146-023-01828-5,2024,3
https://doi.org/10.1109/tnnls.2023.3326654,2024,5
https://doi.org/10.1109/tnnls.2023.3326654,2023,1
https://doi.org/10.1109/tnnls.2024.3400850,2025,4
https://doi.org/10.1109/tnnls.2024.3400850,2024,2
https://doi.org/10.1109/tnnls.2024.3386935,2024,1
https://doi.org/10.1080/03088839.2024.2367971,2025,2
https://doi.org/10.1080/03088839.2024.2367971,2024,3
https://doi.org/10.1177/13567667231211349,2024,1
https://doi.org/10.1142/s0219455425500695,2024,2
https://doi.org/10.1080/15472450.2023.2301707,2025,1
https://doi.org/10.1080/15472450.2023.2301707,2024,3
https://doi.org/10.1007/s11071-024-10614-x,2025,4
https://doi.org/10.1007/s11071-024-10614-x,2024,1
https://doi.org/10.1007/s11071-024-10641-8,2025,3
https://doi.org/10.1002/aisy.202400403,2025,3
https://doi.org/10.1002/aisy.202400403,2024,3
https://doi.org/10.1177/09579265241257628,2024,1
https://doi.org/10.1002/advs.202410826,2025,2
https://doi.org/10.4171/jems/1390,2024,1
https://doi.org/10.4171/jems/1390,2023,1
https://doi.org/10.1002/aelm.202400482,2025,1
https://doi.org/10.1002/aelm.202400482,2024,1
https://doi.org/10.1002/dug2.12076,2024,2
https://doi.org/10.1016/j.gce.2024.08.004,2025,1
https://doi.org/10.1016/j.gce.2024.08.004,2024,1
https://doi.org/10.1007/s40843-024-3167-7,2025,2
https://doi.org/10.1515/applirev-2023-0040,2025,1
https://doi.org/10.1002/adfm.202417293,2025,2
https://doi.org/10.1109/tie.2024.3401207,2025,1
https://doi.org/10.1109/tie.2024.3401207,2024,1
https://doi.org/10.1109/jstars.2024.3504713,2025,1
https://doi.org/10.1080/02602938.2024.2374485,2025,1
https://doi.org/10.1080/02602938.2024.2374485,2024,2
https://doi.org/10.59717/j.xinn-geo.2024.100114,2025,2
https://doi.org/10.1088/2516-1083/ad9074,2025,1
https://doi.org/10.1088/1674-4926/24090051,2025,2
https://doi.org/10.1016/j.engappai.2025.110394,2025,1
https://doi.org/10.1002/advs.202413882,2025,1
https://doi.org/10.1287/mnsc.2023.01026,2025,3
https://doi.org/10.1287/mnsc.2023.01026,2024,4
https://doi.org/10.1287/mnsc.2023.01026,2022,1
https://doi.org/10.1287/mnsc.2023.01026,2019,1
https://doi.org/10.3390/app15041911,2025,1
https://doi.org/10.1016/j.apenergy.2025.125579,2025,1
https://doi.org/10.1186/s40561-024-00362-1,2025,1
https://doi.org/10.1016/j.ijmecsci.2025.110056,2025,1
https://doi.org/10.1007/s41651-025-00213-8,2025,2
https://doi.org/10.1016/j.energy.2025.135074,2025,2
https://doi.org/10.1016/j.cej.2025.160607,2025,2
https://doi.org/10.1007/s10694-024-01668-9,2025,3
https://doi.org/10.1002/anie.202422040,2025,1
https://doi.org/10.1016/j.jmatprotec.2025.118754,2025,1
https://doi.org/10.1364/ol.553837,2025,1
https://doi.org/10.1007/s11071-024-10828-z,2025,2
https://doi.org/10.1016/j.tranpol.2025.01.035,2025,1
https://doi.org/10.1016/j.wroa.2025.100308,2025,2
https://doi.org/10.1016/j.tre.2024.103950,2025,1
https://doi.org/10.1016/j.apenergy.2025.125366,2025,1
